id,destination_airport,destination_airport_name,destination_city,destination_state,destination_latitude,destination_longitude,mean_departure_delay,flight_count,flight_count_delay_ratio
116,FNT,Bishop International Airport,Flint,MI,42.9655,-83.74346,9.446074544012689,5158,546.0469294379382
117,FSD,Sioux Falls Regional Airport,Sioux Falls,SD,43.58135,-96.7417,10.110265486725664,5773,571.00379882009
118,FSM,Fort Smith Regional Airport,Fort Smith,AR,35.33659,-94.36744,11.25920612147298,2150,190.95484857494796
119,FWA,Fort Wayne International Airport,Fort Wayne,IN,40.97847,-85.19515,8.329719161038037,5773,693.0605808420289
120,GCC,Gillette-Campbell County Airport,Gillette,WY,44.3489,-105.53936000000002,2.3550185873605947,1083,459.86898184688243
121,GCK,Garden City Regional Airport,Garden City,KS,37.92752,-100.72440999999999,7.718571428571429,724,93.79974088469369
122,GEG,Spokane International Airport,Spokane,WA,47.619859999999996,-117.53383999999998,7.821969696969697,10333,1321.0227602905568
123,GFK,Grand Forks International Airport,Grand Forks,ND,47.949259999999995,-97.17611,4.029813664596273,807,200.25739827373613
124,GGG,East Texas Regional Airport,Longview,TX,32.384859999999996,-94.71171,5.030882352941177,703,139.73691902952353
125,GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,39.122409999999995,-108.52673,4.4309489051094895,3450,778.6142593568792
126,GNV,Gainesville Regional Airport,Gainesville,FL,29.69006,-82.27178,9.073804573804575,2916,321.36464658036425
127,GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,30.40728,-89.07009000000002,7.125879593432369,3907,548.283190695633
128,GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,44.48507,-88.12959000000002,7.81866870696251,5371,686.9455915451609
129,GRI,Central Nebraska Regional Airport,Grand Island,NE,40.96747,-98.30861,8.044776119402986,691,85.89424860853431
130,GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,31.0649,-97.8278,8.64974141984015,4403,509.0325578867268
131,GRR,Gerald R. Ford International Airport,Grand Rapids,MI,42.88082,-85.52277,10.024398714943128,11767,1173.835991026496
